Paragraph,Titel,Anchor,Absatz,Text
5a,Legitimations- und Kennzeichnungspflicht,P5a-A2,2,"Polizeidienstkräfte der Polizei Berlin in Dienstkleidung tragen bei Amtshandlungen nach ihrer Wahl ein Schild mit dem Familiennamen oder ein Schild mit einer fünfstelligen Dienstnummer, die nicht mit der Personalnummer identisch ist. Dienstkräfte, die in Einsatzeinheiten tätig sind, tragen anstatt des Namens- oder Dienstnummernschildes eine taktische Kennzeichnung, die bestehend aus Buchstaben und Ziffernfolge geeignet ist, eine nachträgliche Identifizierung zu ermöglichen. Die Kennzeichnungspflicht nach den Sätzen 1 und 2 besteht nicht, wenn eine nachträgliche Identifizierbarkeit der Dienstkräfte auf anderem Wege gewährleistet oder diese im Hinblick auf die Amtshandlung nicht erforderlich ist."
5a,Legitimations- und Kennzeichnungspflicht,P5a-A3,3,"Bei der Vergabe der Dienstnummern und der taktischen Kennzeichnungen werden diesen jeweils die personenbezogenen Daten der Polizeidienstkräfte fest zugeordnet und gespeichert. Zweck der Verarbeitung personenbezogener Daten ist die Sicherstellung einer nachträglichen Identifizierung der Dienstkräfte, wenn tatsächliche Anhaltspunkte die Annahme rechtfertigen, dass bei der Durchführung einer Amtshandlung eine strafbare Handlung oder eine nicht unerhebliche Pflichtverletzung begangen worden ist und die Identifizierung auf andere Weise nicht oder nur unter erheblichen Schwierigkeiten möglich ist."
5a,Legitimations- und Kennzeichnungspflicht,P5a-A4,4,"Die personenbezogenen Daten sind ein Jahr nach Beendigung der Nutzung der Dienstnummer oder taktischen Kennzeichnung zu löschen, sofern ihre Speicherung nicht für den Erhebungszweck weiterhin erforderlich ist. § 44 Absatz 3 und 4 des Berliner Datenschutzgesetzes findet Anwendung."
5a,Legitimations- und Kennzeichnungspflicht,P5a-A5,5,"Die für Inneres zuständige Senatsverwaltung kann Näheres hinsichtlich Inhalt, Umfang und Ausnahmen der Kennzeichnungspflicht durch Ausführungsvorschriften regeln."
6,Örtliche Zuständigkeit der Polizei,P6-A1,,"Die Dienstkräfte der Polizei sind befugt, Amtshandlungen im gesamten Land Berlin vorzunehmen."
7,Amtshandlungen von Polizeidienstkräften außerhalb des Landes Berlin,P7-A1,1,"Polizeidienstkräfte des Landes Berlin dürfen im Zuständigkeitsbereich eines anderen Landes oder des Bundes nur in den Fällen des § 8 Abs. 1 und des Artikels 91 Abs. 2 des Grundgesetzes und nur dann tätig werden, wenn das jeweilige Landesrecht oder das Bundesrecht es vorsieht. Außerhalb der Bundesrepublik Deutschland dürfen Polizeidienstkräfte des Landes Berlin im Zuständigkeitsbereich eines anderen Staates Amtshandlungen vornehmen, soweit völkerrechtliche Verträge oder Rechtsakte der Europäischen Union dies vorsehen, oder soweit die für Inneres zuständige Senatsverwaltung im Einvernehmen mit den zuständigen Stellen des anderen Staates einer Tätigkeit von Berliner Polizeidienstkräften im Ausland allgemein oder im Einzelfall zustimmt."
7,Amtshandlungen von Polizeidienstkräften außerhalb des Landes Berlin,P7-A2,2,"Einer Anforderung von Polizeidienstkräften durch ein anderes Land oder den Bund ist zu entsprechen, soweit nicht die Verwendung der Polizei im eigenen Lande dringender ist als die Unterstützung der Polizei des anderen Landes oder des Bundes, sofern die Anforderung alle für die Entscheidung wesentlichen Merkmale des Einsatzauftrages enthält."
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",P8-A1,1,Polizeidienstkräfte eines anderen Landes oder des Bundes können im Land Berlin Amtshandlungen vornehmen
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",,,"auf Anforderung oder mit Zustimmung der Polizei Berlin,"
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",,,"in den Fällen des Artikels 35 Abs. 2 und 3 und des Artikels 91 Abs. 1 des Grundgesetzes,"
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",,,"zur Abwehr einer gegenwärtigen erheblichen Gefahr, zur Verfolgung von Straftaten auf frischer Tat sowie zur Verfolgung und Wiederergreifung Entwichener, wenn die Polizei die erforderlichen Maßnahmen nicht rechtzeitig treffen kann,"
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",,,"zur Erfüllung polizeilicher Aufgaben bei Gefangenentransporten,"
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",,,zur Verfolgung von Straftaten und Ordnungswidrigkeiten und zur Gefahrenabwehr in den in Verwaltungsabkommen mit anderen Ländern oder mit dem Bund geregelten Fällen.
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",P8-A1-S2,,In den Fällen der Nummern 3 bis 5 ist die Polizei Berlin unverzüglich zu unterrichten.
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",P8-A2,2,"Werden Polizeidienstkräfte eines anderen Landes oder des Bundes nach Absatz 1 tätig, haben sie die gleichen Befugnisse wie die des Landes Berlin. Ihre Maßnahmen gelten als Maßnahmen der Polizei Berlin; sie unterliegen insoweit deren Weisungen."
8,"Amtshandlungen von Polizeidienstkräften anderer Länder, des Bundes sowie ausländischer Staaten in Berlin",P8-A3,3,"Die Absätze 1 und 2 gelten entsprechend für Zollbedienstete in den Vollzugsbereichen der Zollverwaltung im Sinne von § 10a Absatz 1 des Zollverwaltungsgesetzes vom 21. Dezember 1992 (BGBl. I S. 2125; 1993 I S. 2493), das zuletzt durch Artikel 210 der Verordnung vom 19. Juni 2020 (BGBl. I S. 1328) geändert worden ist, und für Bedienstete ausländischer Staaten mit polizeilichen Aufgaben, soweit völkerrechtliche Verträge oder Rechtsakte der Europäischen Union dies vorsehen oder die für Inneres zuständige Senatsverwaltung Amtshandlungen dieser Bediensteten allgemein oder im Einzelfall zustimmt."
9,Aufsichtsbehörden; Eingriffsrecht,P9-A1,1,Die Dienst- und Fachaufsicht über die nachgeordneten Ordnungsbehörden führen die Senatsverwaltungen innerhalb ihrer Zuständigkeitsbereiche. Die Vorschriften der §§ 21 bis 23 des Landesorganisationsgesetzes gelten auch für Ordnungsaufgaben der Bezirksverwaltungen. Dies gilt ebenso für § 17a des Ausführungsgesetzes zum Baugesetzbuch in der jeweils geltenden Fassung.
9,Aufsichtsbehörden; Eingriffsrecht,P9-A2,2,"Die Dienst- und Fachaufsicht über das Landesamt für Bürger- und Ordnungsangelegenheiten, das Landesamt für Einwanderung und die Polizei führt die für Inneres zuständige Senatsverwaltung; soweit dem Landesamt für Bürger- und Ordnungsangelegenheiten und der Polizei nach § 2 Absatz 4 Ordnungsaufgaben zugewiesen sind, führen die Senatsverwaltungen die Fachaufsicht innerhalb ihrer Zuständigkeitsbereiche."
9,Aufsichtsbehörden; Eingriffsrecht,P9-A3,3,Die Aufsichtsbehörden können innerhalb ihrer Zuständigkeitsbereiche Verwaltungsvorschriften erlassen.
9,Aufsichtsbehörden; Eingriffsrecht,P9-A4,4,Bei bezirklichen Ordnungsaufgaben des Einwohnerwesens kann auch das Landesamt für Bürger- und Ordnungsangelegenheiten einen Eingriff nach § 23 Absatz 1 und 2 des Landesorganisationsgesetzes vornehmen.
10,Informationspflicht; Fachaufsicht,P10-A1,1,"Ordnungsbehörden, nachgeordnete Ordnungsbehörden, Polizei und zuständige Aufsichtsbehörden unterrichten sich gegenseitig von allen wichtigen Wahrnehmungen auf dem Gebiet der Gefahrenabwehr (Informationspflicht)."
10,Informationspflicht; Fachaufsicht,P10-A2,2,Die Fachaufsicht erstreckt sich auf die recht- und ordnungsmäßige Erledigung der Aufgaben der nachgeordneten Ordnungsbehörden und der Polizei und auf die zweckentsprechende Handhabung des Verwaltungsermessens.
10,Informationspflicht; Fachaufsicht,P10-A3,3,In Ausübung der Fachaufsicht kann die Aufsichtsbehörde
10,Informationspflicht; Fachaufsicht,,,"Auskünfte, Berichte, die Vorlage von Akten und sonstigen Unterlagen fordern und Prüfungen anordnen (Informationsrecht),"
10,Informationspflicht; Fachaufsicht,,,"Einzelweisungen erteilen (Weisungsrecht),"
10,Informationspflicht; Fachaufsicht,,,"eine Angelegenheit an sich ziehen, wenn eine erteilte Einzelweisung nicht befolgt wird (Eintrittsrecht);"
10,Informationspflicht; Fachaufsicht,,,"die Kosten für Aufsichtsmaßnahmen, die über die allgemeinen Verwaltungskosten hinausgehen, der pflichtigen Behörde auferlegen."
11,Grundsatz der Verhältnismäßigkeit,P11-A1,1,"Von mehreren möglichen und geeigneten Maßnahmen haben die Ordnungsbehörden und die Polizei diejenige zu treffen, die den Einzelnen und die Allgemeinheit voraussichtlich am wenigsten beeinträchtigt."
11,Grundsatz der Verhältnismäßigkeit,P11-A2,2,"Eine Maßnahme darf nicht zu einem Nachteil führen, der zu dem erstrebten Erfolg erkennbar außer Verhältnis steht."
11,Grundsatz der Verhältnismäßigkeit,P11-A3,3,"Eine Maßnahme ist nur solange zulässig, bis ihr Zweck erreicht ist oder sich zeigt, dass er nicht erreicht werden kann."
12,Ermessen; Wahl der Mittel und der Adressaten,P12-A1,1,Die Ordnungsbehörden und die Polizei treffen ihre Maßnahmen nach pflichtgemäßem Ermessen.
12,Ermessen; Wahl der Mittel und der Adressaten,P12-A2,2,"Kommen zur Abwehr einer Gefahr mehrere Mittel in Betracht, so genügt es, wenn eines davon bestimmt wird. Der betroffenen Person ist auf Antrag zu gestatten, ein anderes ebenso wirksames Mittel anzuwenden, sofern die Allgemeinheit dadurch nicht stärker beeinträchtigt wird."
12,Ermessen; Wahl der Mittel und der Adressaten,P12-A3,3,"Die Auswahl der von einer Maßnahme betroffenen Person anhand gruppenbezogener Merkmale im Sinne von Artikel 3 Absatz 3 des Grundgesetzes, Artikel 10 Absatz 2 der Verfassung von Berlin und § 2 des Landesantidiskriminierungsgesetzes ohne hinreichenden sachlichen, durch den Zweck der jeweiligen Maßnahme gerechtfertigten Grund ist unzulässig."
13,Verantwortlichkeit für das Verhalten einer Person,P13-A1,1,"Verursacht eine Person eine Gefahr, so sind die Maßnahmen gegen diese Person zu richten."
13,Verantwortlichkeit für das Verhalten einer Person,P13-A2,2,"Ist diese Person noch nicht 14 Jahre alt, so können die Maßnahmen auch gegen die Person gerichtet werden, die zur Aufsicht über sie verpflichtet ist. Ist für die Person ein Betreuer bestellt, so können die Maßnahmen auch gegen den Betreuer im Rahmen seines Aufgabenbereichs gerichtet werden."
13,Verantwortlichkeit für das Verhalten einer Person,P13-A3,3,"Verursacht eine Person, die zu einer Verrichtung bestellt ist, die Gefahr in Ausübung der Verrichtung, so können Maßnahmen auch gegen die Person gerichtet werden, die die andere Person zu der Verrichtung bestellt hat."
13,Verantwortlichkeit für das Verhalten einer Person,P13-A4,4,"Die Absätze 1 bis 3 sind nicht anzuwenden, soweit andere Vorschriften dieses Gesetzes oder andere Rechtsvorschriften abschließend bestimmen, gegen wen eine Maßnahme zu richten ist."
14,Verantwortlichkeit für Tiere oder den Zustand einer Sache,P14-A1,1,"Geht von einem Tier oder von einer Sache eine Gefahr aus, so sind die Maßnahmen gegen den Inhaber der tatsächlichen Gewalt zu richten."
14,Verantwortlichkeit für Tiere oder den Zustand einer Sache,P14-A2,2,"Die Vorschriften dieses Gesetzes, die sich auf Sachen beziehen, sind auch auf Tiere anzuwenden."
14,Verantwortlichkeit für Tiere oder den Zustand einer Sache,P14-A3,3,"Maßnahmen können auch gegen den Eigentümer oder einen anderen Berechtigten gerichtet werden. Das gilt nicht, wenn der Inhaber der tatsächlichen Gewalt sie ohne den Willen des Eigentümers oder Berechtigten ausübt."
14,Verantwortlichkeit für Tiere oder den Zustand einer Sache,P14-A4,4,"Geht die Gefahr von einer herrenlosen Sache aus, so können die Maßnahmen auch gegen denjenigen gerichtet werden, der das Eigentum an der Sache aufgegeben hat."
14,Verantwortlichkeit für Tiere oder den Zustand einer Sache,P14-A5,5,"Die Absätze 1 bis 4 sind nicht anzuwenden, soweit andere Vorschriften dieses Gesetzes oder andere Rechtsvorschriften abschließend bestimmen, gegen wen eine Maßnahme zu richten ist."
15,Unmittelbare Ausführung einer Maßnahme,P15-A1,1,"Die Ordnungsbehörden und die Polizei können eine Maßnahme selbst oder durch einen Beauftragten unmittelbar ausführen, wenn der Zweck der Maßnahme durch Inanspruchnahme der nach den §§ 13 oder 14 Verantwortlichen nicht oder nicht rechtzeitig erreicht werden kann. Die von der Maßnahme betroffene Person ist unverzüglich zu unterrichten."
15,Unmittelbare Ausführung einer Maßnahme,P15-A2,2,Die durch die unmittelbare Ausführung einer Maßnahme entstehenden Kosten werden von den nach den §§ 13 oder 14 Verantwortlichen erhoben. Mehrere Verantwortliche haften als Gesamtschuldner. Die Kosten können im Verwaltungsvollstreckungsverfahren beigetrieben werden. Die Erhebung von Kosten nach dem Gesetz über Gebühren und Beiträge bleibt unberührt.
15,Unmittelbare Ausführung einer Maßnahme,P15-A3,3,"Wird eine Maßnahme durch einen Beauftragten ausgeführt, so bestehen die Kosten in dem Betrag, der an den Beauftragten zu zahlen ist. Wird eine Maßnahme durch die Ordnungsbehörde oder die Polizei selbst ausgeführt, so bestehen die Kosten in ihren durch die Maßnahme unmittelbar entstehenden zusätzlichen personellen und sächlichen Aufwendungen."
16,Inanspruchnahme von nicht verantwortlichen und nicht verdächtigen Personen,P16-A1,1,"Die Ordnungsbehörden und die Polizei können Maßnahmen auch gegen andere Personen als die nach den §§ 13 oder 14 Verantwortlichen richten, wenn"
16,Inanspruchnahme von nicht verantwortlichen und nicht verdächtigen Personen,,,"eine gegenwärtige erhebliche Gefahr abzuwehren ist,"
16,Inanspruchnahme von nicht verantwortlichen und nicht verdächtigen Personen,,,"Maßnahmen gegen die nach den §§ 13 oder 14 Verantwortlichen nicht oder nicht rechtzeitig möglich sind oder keinen Erfolg versprechen,"
16,Inanspruchnahme von nicht verantwortlichen und nicht verdächtigen Personen,,,sie die Gefahr nicht oder nicht rechtzeitig selbst oder durch Beauftragte abwehren können und
16,Inanspruchnahme von nicht verantwortlichen und nicht verdächtigen Personen,,,die Personen ohne erhebliche eigene Gefährdung und ohne Verletzung höherwertiger Pflichten in Anspruch genommen werden können.
16,Inanspruchnahme von nicht verantwortlichen und nicht verdächtigen Personen,P16-A2,2,"Die Maßnahmen nach Absatz 1 dürfen nur aufrecht erhalten werden, solange die Abwehr der Gefahr nicht auf andere Weise möglich ist."
16,Inanspruchnahme von nicht verantwortlichen und nicht verdächtigen Personen,P16-A3,3,"Die Absätze 1 und 2 sind nicht anzuwenden, soweit andere Vorschriften dieses Gesetzes oder andere Rechtsvorschriften abschließend bestimmen, gegen wen eine Maßnahme zu richten ist."
17,Allgemeine Befugnisse; Begriffsbestimmungen,P17-A1,1,"Die Ordnungsbehörden und die Polizei können die notwendigen Maßnahmen treffen, um eine im einzelnen Falle bestehende Gefahr für die öffentliche Sicherheit oder Ordnung (Gefahr) abzuwehren, soweit nicht die §§ 18 bis 51b ihre Befugnisse besonders regeln."
17,Allgemeine Befugnisse; Begriffsbestimmungen,P17-A2,2,"Zur Erfüllung der Aufgaben, die den Ordnungsbehörden und der Polizei durch andere Rechtsvorschriften übertragen sind (§ 1 Abs. 2), haben sie die dort vorgesehenen Befugnisse. Soweit solche Rechtsvorschriften Befugnisse der Ordnungsbehörden und der Polizei nicht abschließend regeln, haben sie die Befugnisse, die ihnen nach diesem Gesetz zustehen."
17,Allgemeine Befugnisse; Begriffsbestimmungen,P17-A3,3,Straftaten von erheblicher Bedeutung sind
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"alle Verbrechen, alle weiteren in § 100a der Strafprozessordnung genannten Straftaten sowie alle weiteren terroristischen Straftaten,"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"Straftaten nach den §§ 176a, 176b, 180a, 181a Absatz 1, § 182 Absatz 1 und 2, §§ 224 und 233 des Strafgesetzbuches,"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"Straftaten nach den §§ 243 und 244 Absatz 1 Nummer 1 und 3 des Strafgesetzbuches, soweit sie organisiert, insbesondere banden-, gewerbs- oder serienmäßig begangen werden."
17,Allgemeine Befugnisse; Begriffsbestimmungen,P17-A4,4,"Straftaten, die sich auf eine Schädigung der Umwelt, eine Beeinträchtigung der Funktionsfähigkeit von Einrichtungen, Anlagen oder Teilen davon im Sinne des § 28 Absatz 1 des Katastrophenschutzgesetzes vom 7. Juni 2021 (GVBl. S. 610), das durch Artikel 7 Nummer 5 des Gesetzes vom 11. Dezember 2025 (GVBl. S. 590) geändert worden ist, in der jeweils geltenden Fassung, von staatlichen Einrichtungen der kritischen Infrastruktur, die Einrichtungen nach § 28 Absatz 1 des Katastrophenschutzgesetzes entsprechen, oder von zur Aufrechterhaltung der Staats- und Regierungsfunktionen unabdingbar notwendigen Einrichtungen, die einen mit Einrichtungen nach § 28 Absatz 1 des Katastrophenschutzgesetzes vergleichbaren Schutzbedarf aufweisen, oder auf gemeinschaftswidrige Wirtschaftsformen, insbesondere illegale Beschäftigung, beziehen und geeignet sind, die Sicherheit der Bevölkerung zu beeinträchtigen, stehen Straftaten von erheblicher Bedeutung im Sinne des Absatzes 3 gleich."
17,Allgemeine Befugnisse; Begriffsbestimmungen,P17-A4,5,Terroristische Straftaten sind
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"Straftaten nach den §§ 89a, 89c, 129a und 129b des Strafgesetzbuches, die im In- oder Ausland begangen werden, sowie"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"die in § 129a Absatz 1 und 2 des Strafgesetzbuches genannten Straftaten, die im In- oder Ausland begangen werden, sofern sie dazu bestimmt sind,"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"die Bevölkerung auf erhebliche Weise einzuschüchtern,"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,eine Behörde oder eine internationale Organisation rechtswidrig mit Gewalt oder durch Drohung mit Gewalt zu nötigen oder
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"die politischen, verfassungsrechtlichen, wirtschaftlichen oder sozialen Grundstrukturen eines Staates, eines Landes oder einer internationalen Organisation zu beseitigen oder erheblich zu beeinträchtigen,"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"und durch die Art ihrer Begehung oder ihre Auswirkungen einen Staat, ein Land oder eine internationale Organisation erheblich schädigen können."
17,Allgemeine Befugnisse; Begriffsbestimmungen,P17-A4,6,"Setzt eine Maßnahme nach diesem Gesetz eine Sachlage voraus, bei der"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"Tatsachen die Annahme rechtfertigen, dass eine Person innerhalb eines übersehbaren Zeitraums auf eine zumindest ihrer Art nach konkretisierte Weise oder"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"das individuelle Verhalten einer Person die konkrete Wahrscheinlichkeit begründet, dass sie innerhalb eines übersehbaren Zeitraums"
17,Allgemeine Befugnisse; Begriffsbestimmungen,,,"eine Straftat begehen wird, so muss in den Fällen nach den §§ 84, 85, 89a, 89c, 96, 127 Absatz 3 und 4, §§ 129, 129a und 129b des Strafgesetzbuches zudem eine solche konkretisierte Gefahr für das durch den jeweiligen Straftatbestand geschützte Rechtsgut bestehen."
17a,Kriminalitätsbelastete Orte; Verordnungsermächtigung,P17a-A1,1,"Die für Inneres zuständige Senatsverwaltung wird ermächtigt, durch Rechtsverordnung bestimmte Straßen, Wege, Plätze oder sonstige Bereiche als kriminalitätsbelastete Orte einzustufen. Dies ist nur für solche Orte zulässig, die öffentlich zugänglich sind und von denen Tatsachen die Annahme rechtfertigen, dass dort Personen Straftaten von erheblicher Bedeutung verabreden, vorbereiten oder verüben."
17a,Kriminalitätsbelastete Orte; Verordnungsermächtigung,P17a-A2,2,"Die Polizeipräsidentin oder der Polizeipräsident oder die Vertretung im Amt kann die Einstufung eines Bereichs als kriminalitätsbelasteter Ort unter den Voraussetzungen des Absatzes 1 für die Dauer von insgesamt höchstens einem Monat im jeweiligen Kalenderjahr durch Allgemeinverfügung vornehmen, wenn Maßnahmen nach diesem Gesetz, die diese Einstufung voraussetzen, keinen Aufschub dulden und der Erlass einer Rechtsverordnung voraussichtlich nicht rechtzeitig erfolgen würde. In besonderen Eilfällen kann die öffentliche Bekanntgabe der Allgemeinverfügung dadurch erfolgen, dass ihr verfügender Teil auf der Internetseite der Polizei Berlin zugänglich gemacht und zusätzlich durch weitere geeignete Nachrichtenmittel verbreitet wird. Dabei kann bestimmt werden, dass die Allgemeinverfügung mit der Zugänglichmachung auf einer Internetseite der Polizei Berlin als bekanntgegeben gilt. Über den Erlass jeder Allgemeinverfügung unterrichtet die für Inneres zuständige Senatsverwaltung unverzüglich das Abgeordnetenhaus."
17a,Kriminalitätsbelastete Orte; Verordnungsermächtigung,P17a-A3,3,"Die für Inneres zuständige Senatsverwaltung unterrichtet das Abgeordnetenhaus über die Gründe, die zur Einstufung als kriminalitätsbelasteter Ort geführt haben. Der Senat unterrichtet das Abgeordnetenhaus zudem jährlich über die an den kriminalitätsbelasteten Orten nach diesem Gesetz getroffenen Maßnahmen."
18,"Ermittlungen, Befragungen, Datenerhebungen",P18-A1,1,"Die Ordnungsbehörden und die Polizei können zur Klärung des Sachverhalts in einer bestimmten ordnungsbehördlichen oder polizeilichen Angelegenheit Ermittlungen anstellen, insbesondere Befragungen nach den Absätzen 4 bis 6 durchführen. Sie können in diesem Zusammenhang personenbezogene Daten erheben"
18,"Ermittlungen, Befragungen, Datenerhebungen",,,"über die in den §§ 13, 14 und 16 genannten und andere Personen, wenn das zur Abwehr einer Gefahr oder zur Erfüllung der ihnen durch andere Rechtsvorschriften übertragenen Aufgaben erforderlich ist,"
